Sr. No.,FG_name,FG Position,Redox Potential,mol_filename_neutral,mol_filename_anion,FG_no,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,MolMR,fr_ArN,fr_Ar_COO,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH2,fr_SH,fr_aldehyde,fr_alkyl_halide,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_ester,fr_ether,fr_halogen,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_priamide,fr_sulfide,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
Phenazine,-,-,-1.74,PHENAZINE_neutral,PHENAZINE_anion,0,4.515185185185185,0.9501851851851852,4.515185185185185,0.9501851851851852,0.4969799703454515,180.20999999999998,172.14599999999996,180.068748256,66,0.08941328874641231,-0.2445051966161595,0.2445051966161595,0.08941328874641231,0.5,0.7857142857142857,1.0714285714285714,2.523732645389001,497.04251748929295,9.38046888862398,7.513229344516924,7.513229344516924,6.932652990377571,4.549127729379168,4.549127729379168,3.2010354675200543,3.2010354675200543,2.245269375926247,2.245269375926247,1.5660335802813683,1.5660335802813683,-1.9599999999999995,3255.1289561694916,7.444412301848199,2.771028960043985,1.0435531063225354,81.2340281448604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,24.26546827384644,24.26546827384644,0.0,22.066802870465047,0.0,22.066802870465047,0.0,0.0,0.0,0.0,48.53093654769288,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,48.53093654769288,0.0,22.066802870465047,25.78,0.0,0.0,0.0,0.0,22.066802870465047,0.0,0.0,48.53093654769288,9.967957041894417,0.0,0.0,0.0,9.03037037037037,0.0,3.800740740740742,0.0,15.835555555555555,0.0,0.0,0.0,0.0,14,0,2,2,3,2,0,2,0,3,2.7830000000000004,57.044000000000025,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5654261965509801,0.9844359334973011,0.004059860329890467,0.1757438273149232,0.8242561729240504,203.0257461951378,952.2111081829379,1155.2368541020046,2.5905205971845504,3.4691944495650373e-10
1,2CH3N,1,-1.85,2CH3N_R1_neutral,2CH3N_R1_Anion,1,4.6947222222222225,0.9391666666666668,4.6947222222222225,0.9391666666666668,0.5939062158916915,223.27899999999997,210.17499999999995,223.110947416,84,0.11269704353100418,-0.37585296067078316,0.37585296067078316,0.11269704353100418,0.7647058823529411,1.411764705882353,2.1176470588235294,2.43363031334068,689.1823459691277,11.828062645816685,9.883092670827256,9.883092670827256,8.25402019542349,5.583828384795729,5.583828384795729,4.2516193665400746,4.2516193665400746,2.8301235621520435,2.8301235621520435,1.9886003667370558,1.9886003667370558,-2.1599999999999997,11672.77138548067,10.023557980377,3.697966346939252,1.5983916503326339,99.72374604385699,4.899909730850478,5.516700717616262,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,18.19910120538483,24.26546827384644,14.09534396535438,22.237488427532348,0.0,27.754189145148608,0.0,0.0,0.0,18.99525369620486,42.46456947923127,0.0,4.899909730850478,5.687386274683562,0.0,0.0,24.063301007248796,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,29.020000000000003,0.0,0.0,0.0,0.0,27.754189145148608,0.0,0.0,50.49354637612404,15.950255320259297,4.9839785209472085,0.0,0.0,11.387592592592592,0.0,4.87227702191988,0.0,14.03448790627362,0.0,0.0,4.038975812547241,0.14285714285714285,17,0,3,2,3,3,0,3,1,3,2.849,71.37100000000004,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.41485029321317607,0.9647253883705899,0.0016407408212073065,0.26325828578264066,0.7541446369818013,459.6366636547014,1316.7012913758713,1745.9532652058697,2.8947236160329037,0.026168811971959017
2,2CH3N,2,-1.98,2CH3N_R2_neutral,2CH3N_R2_Anion,1,4.631574074074074,0.9391666666666668,4.631574074074074,0.9391666666666668,0.5939062158916915,223.279,210.17499999999995,223.110947416,84,0.09147550895198552,-0.3775964782473028,0.3775964782473028,0.09147550895198552,0.7647058823529411,1.3529411764705883,2.0,2.3223112138967683,689.1823459691277,11.828062645816685,9.883092670827256,9.883092670827256,8.237183443017882,5.577845320652021,5.577845320652021,4.279765602771452,4.279765602771452,2.8389325613001373,2.8389325613001373,1.8868741902686308,1.8868741902686308,-2.1599999999999993,11538.41042967236,10.023557980377,3.697966346939252,1.6942550397084872,99.72374604385699,4.899909730850478,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,12.13273413692322,30.33183534230805,19.782730240037942,22.066802870465047,0.0,27.754189145148608,0.0,0.0,0.0,18.99525369620486,42.46456947923127,0.0,4.899909730850478,5.687386274683562,0.0,0.0,24.063301007248796,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,29.020000000000003,0.0,0.0,0.0,0.0,27.754189145148608,0.0,0.0,44.42717930766243,27.000600909668112,0.0,0.0,0.0,11.294470899470898,0.0,4.9025836167800465,0.0,14.08936933106576,0.0,0.0,4.046909486016629,0.14285714285714285,17,0,3,2,3,3,0,3,1,3,2.849000000000001,71.37100000000004,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.65268874922805,0.9910672764392611,0.0031157453995640625,0.133362864288621,0.8807998911905788,282.6931530778526,1867.0572186603779,2119.7291658797476,3.1869991111399743,0.021473420170260073
3,NH2,1,-1.85,NH2_R1_neutral,NH2_R1_anion,14,5.844734504913077,0.6719935752078611,5.844734504913077,0.6719935752078611,0.442253758599829,195.22500000000002,186.15299999999996,195.079647288,72,0.11230197890011458,-0.3969151577285507,0.3969151577285507,0.11230197890011458,0.7333333333333333,1.4,2.2,2.532561174306745,646.485643536684,10.25071237662706,8.013229344516924,8.013229344516924,7.34333659290053,4.754469530640647,4.754469530640647,3.4272935657556607,3.4272935657556607,2.400824126917846,2.400824126917846,1.6641897045115042,1.6641897045115042,-2.1599999999999993,4748.435641333787,8.173359972682558,2.916788900964725,1.2053499674484094,86.57391884187312,5.733667477162185,5.516700717616262,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,18.19910120538483,24.26546827384644,0.0,22.237488427532348,0.0,27.754189145148608,0.0,0.0,0.0,5.733667477162185,42.46456947923127,0.0,5.733667477162185,5.687386274683562,0.0,0.0,9.967957041894417,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,51.8,0.0,0.0,0.0,5.687386274683562,22.066802870465047,0.0,0.0,42.46456947923127,9.967957041894417,5.733667477162185,0.0,0.0,8.985740740740741,0.0,9.908765117157975,0.0,13.438827475434618,0.0,0.0,0.0,0.0,15,2,3,2,3,3,1,3,0,3,2.3652000000000006,61.456400000000016,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.4808647003189355,0.9749139363107926,0.002626669303452749,0.2225821573868758,0.7775341850758779,296.0152555381873,1034.0540463216992,1329.914576322825,2.672941688908458,0.00016388947320693638
4,NH2,2,-1.92,NH2_R2_neutral,NH2_R2_anion,14,5.700163769211388,0.7148899281934998,5.700163769211388,0.7148899281934998,0.4422537585998289,195.225,186.15299999999996,195.079647288,72,0.09146146924978664,-0.3986637924005021,0.3986637924005021,0.09146146924978664,0.7333333333333333,1.3333333333333333,2.066666666666667,2.474936442179002,646.485643536684,10.25071237662706,8.013229344516924,8.013229344516924,7.3264998404949235,4.7484864664969395,4.7484864664969395,3.4604728553577093,3.4604728553577093,2.3630078383173028,2.3630078383173028,1.6373403613163238,1.6373403613163238,-2.1599999999999993,4584.5462110820845,8.173359972682558,2.916788900964725,1.2874911772527653,86.57391884187312,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,12.13273413692322,30.33183534230805,5.687386274683562,22.066802870465047,0.0,27.754189145148608,0.0,0.0,0.0,5.733667477162185,42.46456947923127,0.0,5.733667477162185,5.687386274683562,0.0,0.0,9.967957041894417,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,51.8,0.0,0.0,0.0,5.687386274683562,22.066802870465047,0.0,0.0,42.46456947923127,9.967957041894417,5.733667477162185,0.0,0.0,8.996759259259258,0.0,9.944656872008064,0.0,13.391917202066011,0.0,0.0,0.0,0.0,15,2,3,2,3,3,1,3,0,3,2.3652000000000006,61.45640000000002,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6207582871600701,0.9889197905262429,0.0038740126682183986,0.148450826557253,0.8515821151498509,219.8191353724925,1260.9835094365305,1480.753866248868,2.8203953786781626,4.615912880866399e-05
5,OH,1,-1.69,OH_R1_neutral,OH_R1_anion,17,9.628172713529857,0.17199357520786118,9.628172713529857,0.17199357520786118,0.5616775215366682,196.209,188.14499999999995,196.063662876,72,0.14294178600101737,-0.5056037423856995,0.5056037423856995,0.14294178600101737,0.7333333333333333,1.4,2.2,2.532561174306745,649.2405310388475,10.25071237662706,7.883092670827256,7.883092670827256,7.34333659290053,4.689401193795813,4.689401193795813,3.3571921755401575,3.3571921755401575,2.3483178746549025,2.3483178746549025,1.6277257693620804,1.6277257693620804,-2.1599999999999993,4748.435641333787,8.173359972682558,2.916788900964725,1.2053499674484094,86.02826189705642,5.106527394840706,11.266212550900168,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,18.19910120538483,24.26546827384644,0.0,16.550102152848787,5.106527394840706,22.066802870465047,0.0,0.0,0.0,0.0,42.46456947923127,5.749511833283905,0.0,0.0,5.749511833283905,0.0,15.074484436735123,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,46.010000000000005,0.0,5.106527394840706,5.749511833283905,11.033401435232523,11.033401435232523,0.0,12.13273413692322,30.33183534230805,9.967957041894417,0.0,0.0,0.0,8.78074074074074,9.628172713529857,2.90925925925926,0.17199357520786118,12.843167044595615,0.0,0.0,0.0,0.0,15,1,3,2,3,3,1,3,0,3,2.4886,58.708800000000025,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0.4769606106245482,0.9743707423088591,0.0025551147604648272,0.22494811964647024,0.77505188057414,303.3334911474357,1045.1262856716587,1348.4597765216104,2.6771497056562366,3.3312275508312214e-10
6,OH,2,-1.81,OH_R2_neutral,OH_R2_anion,17,9.33454333585286,0.21488992819350017,9.33454333585286,0.21488992819350017,0.5616775215366682,196.209,188.14499999999995,196.063662876,72,0.11738912795491777,-0.5078819566483582,0.5078819566483582,0.11738912795491777,0.7333333333333333,1.3333333333333333,2.066666666666667,2.474936442179002,649.2405310388475,10.25071237662706,7.883092670827256,7.883092670827256,7.3264998404949235,4.683418129652106,4.683418129652106,3.385338411771537,3.385338411771537,2.322534781805815,2.322534781805815,1.6087035468950646,1.6087035468950646,-2.1599999999999993,4584.5462110820845,8.173359972682558,2.916788900964725,1.2874911772527653,86.02826189705642,5.106527394840706,5.749511833283905,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,12.13273413692322,24.26546827384644,6.06636706846161,22.066802870465047,5.106527394840706,22.066802870465047,0.0,0.0,0.0,0.0,42.46456947923127,5.749511833283905,0.0,0.0,5.749511833283905,0.0,15.074484436735123,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,46.010000000000005,0.0,5.106527394840706,5.749511833283905,5.516700717616262,16.550102152848787,0.0,18.19910120538483,24.26546827384644,9.967957041894417,0.0,0.0,0.0,8.861203703703703,9.33454333585286,3.228231292517007,0.21488992819350017,12.694465073066263,0.0,0.0,0.0,0.0,15,1,3,2,3,3,1,3,0,3,2.4886,58.708800000000025,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.6285528090516608,0.9894644930397507,0.003893153495594582,0.14477574732526544,0.8552242528864081,219.6739105853811,1297.6652480123796,1517.33915827658,2.8398473252495826,3.260761775049842e-10
7,OCH3,1,-1.75,OCH3_R1_neutral,OCH3_R1_anion,16,5.273874952758881,0.7599565381708241,5.273874952758881,0.7599565381708241,0.579140015039187,210.23600000000002,200.15599999999995,210.07931294,78,0.14622007807049292,-0.494409185469823,0.494409185469823,0.14622007807049292,0.8125,1.5,2.25,2.4620937466769006,664.2016474199265,10.957819157813606,8.844127365791163,8.844127365791163,7.881341395361315,5.078166831741629,5.078166831741629,3.5403266798372424,3.5403266798372424,2.5525097432918624,2.5525097432918624,1.7815237634373382,1.7815237634373382,-2.1599999999999993,8298.814492024436,9.094017447199265,3.4504538999696353,1.290042356473864,92.71251548876388,4.736862953800049,11.266212550900168,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,18.19910120538483,24.26546827384644,0.0,23.65989969412632,4.736862953800049,22.066802870465047,0.0,0.0,0.0,7.109797541277533,42.46456947923127,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,17.077754583171952,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,35.010000000000005,0.0,0.0,0.0,0.0,27.81631470374895,0.0,7.109797541277533,42.46456947923127,9.967957041894417,4.736862953800049,5.273874952758881,0.0,9.104768518518519,0.0,3.4625028344671205,0.7599565381708241,13.587742583144369,0.0,0.0,1.6444879062736204,0.07692307692307693,16,0,3,2,3,3,0,3,1,3,2.7916000000000007,63.59600000000003,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0.4052947026769318,0.9626737721503269,0.0017998968119105516,0.2706643833493067,0.7413955539382969,411.9100323041972,1128.2912912069128,1521.8479328793162,2.7657109029457687,0.01759897527894513
8,OCH3,2,-1.86,OCH3_R2_neutral,OCH3_R2_Anion,16,5.16656887755102,0.8028528911564629,5.16656887755102,0.8028528911564629,0.5791400150391869,210.236,200.15599999999995,210.07931294,78,0.12067186039302832,-0.4966835515979158,0.4966835515979158,0.12067186039302832,0.8125,1.4375,2.125,2.3730589868180374,664.2016474199265,10.957819157813606,8.844127365791161,8.844127365791161,7.864504642955708,5.072183767597921,5.072183767597921,3.5669659276518235,3.5669659276518235,2.5461186673574034,2.5461186673574034,1.7270961066912123,1.7270961066912123,-2.1599999999999993,8158.272154695604,9.094017447199265,3.4504538999696353,1.3723476679881819,92.71251548876388,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,12.13273413692322,24.26546827384644,6.06636706846161,29.17660041174258,4.736862953800049,22.066802870465047,0.0,0.0,0.0,7.109797541277533,42.46456947923127,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,17.077754583171952,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,35.010000000000005,0.0,0.0,0.0,0.0,27.81631470374895,0.0,7.109797541277533,42.46456947923127,9.967957041894417,4.736862953800049,5.16656887755102,0.0,9.078834089191233,0.0,3.5703424981103558,0.8028528911564629,13.566280234315947,0.0,0.0,1.6484547430083143,0.07692307692307693,16,0,3,2,3,3,0,3,1,3,2.7916000000000007,63.59600000000003,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0.6301958826393397,0.9895768621976658,0.003258972574856731,0.14400567281542043,0.8559943323839055,262.6577280790822,1561.2824286492391,1823.940147245062,3.0187071632475804,7.7470004675955e-09
9,P(CH3)2,1,-1.74,P(CH3)2_R1_neutral,P(CH3)2_R1_anion,18,4.752592592592593,-0.15325842991517558,4.752592592592593,0.15325842991517558,0.48207362789368896,240.24599999999998,227.14199999999994,240.081635046,84,0.09705237630550857,-0.2444800481404399,0.2444800481404399,0.09705237630550857,0.7647058823529411,1.411764705882353,2.1176470588235294,2.4336303133406805,691.9372334712912,11.828062645816685,9.883092670827256,10.777519861827171,8.25402019542349,5.58382838479573,7.819896362295519,4.251619366540074,6.522279436037045,2.8301235621520435,4.154609534521298,1.9886003667370558,2.960965580506184,-1.5299999999999996,11672.77138548067,10.6130831298335,4.047117678804553,1.7884592991023365,101.46359775452686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,32.18705636618995,31.528752413849904,5.304539896238908,22.066802870465047,0.0,35.292930859047466,0.0,0.0,0.0,13.329651208465071,42.46456947923127,0.0,5.304539896238908,0.0,0.0,7.9215880923435105,23.297608250359488,0.0,0.0,0.0,42.46456947923127,0.0,22.066802870465047,25.78,0.0,0.0,7.9215880923435105,0.0,22.066802870465047,5.304539896238908,0.0,30.33183534230805,30.446363866335503,4.9839785209472085,0.0,0.0,9.421203703703704,1.3294009826152684,3.9978657512387676,0.0,14.31025662425464,0.0,4.5019387755102045,-0.15325842991517558,0.14285714285714285,17,0,2,2,3,2,0,3,1,3,3.1498000000000017,75.44600000000004,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.3310083825057589,0.9464403694067436,0.001188661737977027,0.3228786570171938,0.729151995159414,613.4226179437317,1385.2830344427646,1899.8549597877754,2.929465750038083,0.08608741832375695
