,feat_set,model_name,cv_mean_test_r2,cv_mean_test_mse,cv_mean_test_mae,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae
0,3d,gradient_boosting_reg,0.9665248896980486,0.015453214222098489,0.07839808075445713,0.9999912579678104,4.096360575935805e-06,0.0008545998718915026,0.9788137933709088,0.009296501388620105,0.05732516412326797
1,3d,gaussian_process,0.9822000458202371,0.007921877070188824,0.058426795788148654,0.9999398416382093,2.818913682870138e-05,0.003564469501193908,0.9776710405975938,0.00979794097759233,0.05575044611866644
2,3d,kernel_ridge,0.98463210323564,0.006183170272746934,0.056227700771608546,0.9991085513220644,0.000417716972505227,0.011882321868515565,0.9769334373136453,0.010121601086904297,0.05728999529020672
3,3d,lasso,0.9749851119089769,0.010398200300095731,0.07201289372362507,0.9923402366509603,0.003589228674024361,0.04698829328577674,0.9764753537853662,0.01032260800764789,0.06323598440413296
4,3d,bayesian_ridge,0.9820226429918344,0.0075635730429159664,0.060898382521022074,0.9972368655781542,0.0012947555747027063,0.025053186648975916,0.97578431835436,0.010625834156453315,0.05868742973373433
5,3d,random_forest,0.9617068626495895,0.02107533523578492,0.0786927802197802,0.9951028693858407,0.0022947081808978834,0.026936976744185943,0.9755929671981813,0.010709798988868655,0.06841247448979594
6,3d,ridge,0.9813556643893631,0.007828258621986467,0.06258423072833157,0.9965589736471073,0.001612403659366872,0.02793352725085804,0.9746927106248517,0.01110483131488126,0.05846035307481247
7,3d,bagging,0.958977802221445,0.02298218060378206,0.08235493589743595,0.9950586229329708,0.0023154412806201414,0.027458914728681987,0.9736496218852463,0.011562538354464283,0.0722642857142857
8,3d,ada_boost,0.9634861487911991,0.01841751393775664,0.08476847153979375,0.9935352490982272,0.0030292671261151595,0.04414648428650828,0.9727210355378902,0.011970001777189317,0.07261660369965779
9,3d,SVR,0.9709368017761028,0.009920381929620739,0.0785406843825611,0.989495872744575,0.004922046938369063,0.06109743695066421,0.9707752475744993,0.012823812977103987,0.0754236014897934
