,feat_set,model_name,cv_mean_test_r2,cv_mean_test_mse,cv_mean_test_mae,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae
0,2d,gaussian_process,0.9737547659142415,0.00784121157655882,0.05585686394193525,0.9991246410462642,0.00041017761432623464,0.013561867183479051,0.9920619839357082,0.0034831991708816046,0.04281406481415965
1,2d,ridge,0.976711637230585,0.0068658946715377854,0.05405773982563202,0.9960121774797268,0.001868622604179936,0.029828200857884974,0.9915830269725864,0.0036933653488437045,0.04537433205268403
2,2d,bayesian_ridge,0.975093539547316,0.00718220209457379,0.05366559580169463,0.9963549221928762,0.0017080185363714609,0.028244191138691338,0.9915164006019487,0.0037226009811584587,0.045245300814751054
3,2d,neural_network,0.9643897618195781,0.010763502735308319,0.06491291888526536,0.9988284063035965,0.0005489879383760433,0.013279838829889217,0.9909242248901972,0.003982447513526643,0.0447405394637737
4,2d,kernel_ridge,0.9737877774308723,0.007719150056809285,0.05858892958148898,0.9946553252018289,0.002504419414124072,0.03720071168697705,0.9895900493285136,0.004567883367098647,0.05013066225471622
5,2d,omp,0.915988390553441,0.05456318841541661,0.07979839204893562,0.9940089872307277,0.0028072818751787884,0.03890141803977993,0.9875759259011149,0.005451680149008318,0.05665596823042635
6,2d,ARDR,0.9768020152108896,0.007365979890698234,0.058233186838391515,0.9956341177784181,0.0020457746464294098,0.0333084736007697,0.9874272838796475,0.005516904225369439,0.05395508174501811
7,2d+3d+fp,ARDR,0.9519090931649714,0.013166055030375073,0.05995914560927633,0.9999060781753142,4.401009416579348e-05,0.005164834260606182,0.9873303068978366,0.005559457697156667,0.04725568765670888
8,2d+3d+fp,lasso,0.9825629028241417,0.006429181901021226,0.05929981056841632,0.9937490919492581,0.002929064174968943,0.04288516828100475,0.986832516402264,0.005777888023753129,0.05189576553871479
9,2d+3d+fp,omp,-0.5387427911996252,0.39127340371850344,0.23169502647740994,1.0,3.885495826024622e-30,1.3781772880539462e-15,0.9860867315097132,0.006105138220571801,0.06275919253637705
10,2d,lasso,0.9768445238778846,0.007806282813055727,0.0679958011159289,0.9901372909868009,0.004621489774637835,0.05504970774042254,0.9856605466109412,0.006292148031842197,0.059934849339599916
11,2d+3d+fp,gaussian_process,0.9848774991041719,0.00579472367725557,0.05088484448657367,0.9999774249583439,1.0578262426320615e-05,0.002081113227067747,0.9855162448372817,0.00635546760871082,0.04781965706533364
12,2d+3d+fp,bayesian_ridge,0.9850760653838574,0.005489473003203802,0.05087703321613164,0.9993389418170555,0.00030976009013649003,0.011358904307179571,0.98532404564528,0.006439804559001989,0.048332246767971425
13,2d+3d+fp,ridge,0.9858037274644378,0.005288559442398695,0.04990055217585494,0.9988601868656357,0.0005340961330616931,0.01438468490450487,0.9849359117827939,0.006610117586470422,0.0493894589657613
14,2d+3d+fp,gradient_boosting_reg,0.9713360299957887,0.01407654633751466,0.06732433602488913,0.9999951635595805,2.2662698366331678e-06,0.0009406951570730612,0.9848870289521323,0.006631567358535877,0.05455991096324852
15,2d+3d+fp,linear_reg,0.98121802918621,0.006884960753025059,0.05760315519188812,1.0,2.323014242615393e-30,1.0875505922182039e-15,0.9836326970942367,0.0071819678178,0.05460935461637632
16,2d+3d+fp,kernel_ridge,0.9857180270654743,0.005155967661013529,0.05364895148859557,0.9960068739652669,0.001871107736592703,0.0313644765769354,0.9834277059470936,0.00727191787433605,0.05592831940934029
17,2d,gradient_boosting_reg,0.9753250946223023,0.011228806044582294,0.06724507406470401,0.998941017812673,0.0004962201909947673,0.01696090993483036,0.9833796381725252,0.007293010000021727,0.05866184166274648
18,2d+3d+fp,random_forest,0.9622493704310664,0.02088637195441597,0.07724683760683768,0.9962751489373206,0.0017453988630490877,0.025733333333333004,0.983304515675496,0.007325973730158715,0.06294880952380952
19,2d+3d+fp,bagging,0.9661389986866735,0.01859959728897436,0.07545989743589751,0.996978003481191,0.001416053742635653,0.023254263565891345,0.9827282931704566,0.007578820000000009,0.06550000000000002
