COMPOUND_ID	BIOACTIVITY_IN_BRIEF
CMNPD1	antibiotic
CMNPD2	antibiotic
CMNPD3	antibiotic
CMNPD4	antibiotic
CMNPD5	antibiotic
CMNPD6	antibiotic
CMNPD7	insecticidal | neurotoxic
CMNPD18	antimicrobial | antifungal
CMNPD19	antimicrobial | antifungal
CMNPD20	antimicrobial | antifungal
CMNPD21	antimicrobial | antifungal
CMNPD29	antiviral
CMNPD87	antibiotic
CMNPD90	antibiotic
CMNPD91	antibiotic
CMNPD140	toxic
CMNPD141	cytotoxicity
CMNPD142	cytotoxicity
CMNPD164	antibiotics
CMNPD179	analgesic
CMNPD188	inhibit human immunodeficiency virus (HIV) in vitro
CMNPD229	cytotoxic | markedly inhibit growth of the P-388 leukemia
CMNPD230	cytotoxic | markedly inhibit growth of the P-388 leukemia
CMNPD237	antibiotic | cytotoxic | antimicrobial
CMNPD238	antibiotic
CMNPD239	antibiotic
CMNPD240	antibiotic
CMNPD245	antifungal
CMNPD256	antibiotic
CMNPD262	antimicrobial
CMNPD263	antimicrobial
CMNPD264	antibiotic | antimicrobial
CMNPD287	toxic
CMNPD288	toxic
CMNPD291	toxin
CMNPD292	toxin
CMNPD293	toxin
CMNPD294	antimicrobial
CMNPD295	toxin
CMNPD296	toxin
CMNPD297	toxin
CMNPD298	toxin
CMNPD299	toxin
CMNPD300	toxin
CMNPD301	toxin
CMNPD302	toxin
CMNPD303	toxin
CMNPD304	toxin
CMNPD305	toxin
CMNPD306	toxin
CMNPD307	ichthyotoxin
CMNPD328	antimicrobial
CMNPD330	toxic
CMNPD331	toxic
CMNPD332	toxic
CMNPD333	toxic
CMNPD346	antimicrobial | toxic to marine ciliates
CMNPD347	toxic
CMNPD348	toxic
CMNPD362	inhibit the growth of two marine bacteria
CMNPD366	antimicrobial
CMNPD367	antimicrobial
CMNPD368	inhibition of the growth of marine bacteria and fungi | inhibition of cell division in fertilized sea-urchin eggs | inhibition of the motility of sea-urchin sperm | ichthyotoxicity | inhibition of feeding by fish
CMNPD370	ichthyotoxicity
CMNPD371	ichthyotoxicity
CMNPD372	ichthyotoxicity
CMNPD373	plant growth regulator
CMNPD388	antibacterial | toxic
CMNPD405	anti-inflammatory
CMNPD406	anti-inflammatory
CMNPD407	anti-inflammatory
CMNPD409	antibacterial
CMNPD446	toxic ichthyotoxin
CMNPD447	inhibitor of cell division
CMNPD450	antimicrobial
CMNPD451	antimicrobial
CMNPD497	antimicrobial
CMNPD526	antimicrobial
CMNPD528	potent inhibitor of cell division
CMNPD533	antimicrobial
CMNPD557	antimicrobial
CMNPD558	antimicrobial
CMNPD559	antimicrobial
CMNPD560	antimicrobial
CMNPD561	antimicrobial
CMNPD562	antimicrobial
CMNPD563	antimicrobial
CMNPD582	pheromone
CMNPD632	apoptotic
CMNPD633	apoptotic
CMNPD653	antifungal | molluscicidal activities | toxicity to brine shrimp
CMNPD655	antimicrobial
CMNPD656	antimicrobial
CMNPD668	anti-algal
CMNPD677	toxic
CMNPD678	toxic
CMNPD683	toxic
CMNPD686	inhibitor of feeding by fish
CMNPD687	toxic, inhibitor of feeding by fish
CMNPD725	powerful inhibitor of cell division and of assembly of microtubules
CMNPD793	ecdysone
CMNPD795	antimicrobial
CMNPD796	antimicrobial
CMNPD800	ichthyotoxic
CMNPD801	ichthyotoxic
CMNPD802	ichthyotoxic
CMNPD819	antifungal
CMNPD822	antimicrobial
CMNPD823	antimicrobial
CMNPD824	antimicrobial
CMNPD825	antimicrobial
CMNPD826	antimicrobial
CMNPD838	potent inhibitor of feeding by fish
CMNPD839	potent inhibitor of feeding by fish
CMNPD840	potent inhibitor of feeding by fish
CMNPD870	antimicrobial
CMNPD871	antimicrobial
CMNPD872	antibiotic
CMNPD873	antibiotic
CMNPD874	antibiotic
CMNPD875	antibiotic | inhibit in vitro settlement of barnacle (Balanus amphitrite) larvae | moderate antibacterial properties
CMNPD876	antibiotic
CMNPD895	anti-tumour | CNS activity in vivo
CMNPD901	inhibit cell division in fertilized eggs of the sea urchin Pseudocentrotus depressus
CMNPD902	antibiotic
CMNPD920	antifungal
CMNPD921	antifungal
CMNPD922	antifungal
CMNPD938	antimicrobial
CMNPD939	antimicrobial
CMNPD942	cytotoxic
CMNPD943	cytotoxic
CMNPD944	ichthyotoxin
CMNPD945	ichthyotoxin
CMNPD946	ichthyotoxin
CMNPD947	antiviral | antimicrobial
CMNPD948	antiviral | antimicrobial
CMNPD949	antiviral | antimicrobial
CMNPD950	antimicrobial | cytotoxic
CMNPD951	antimicrobial | cytotoxic
CMNPD965	serotonergic agent | potential antidepressant
CMNPD973	potential bronchodilator | CNS activity | cardiovascular activity
CMNPD976	potent muscle-relaxant | anti-inflammatory | anti-allergic activity
CMNPD977	α-adrenoceptor-blocking activity
CMNPD978	cytotoxic
CMNPD983	antagonist of serotonergic receptors
CMNPD992	moderately antimicrobial
CMNPD1014	antimicrobial
CMNPD1015	antimicrobial
CMNPD1016	antimicrobial
CMNPD1017	antimicrobial
CMNPD1018	antimicrobial
CMNPD1019	antimicrobial
CMNPD1020	antimicrobial
CMNPD1021	antimicrobial
CMNPD1022	antimicrobial
CMNPD1023	antimicrobial
CMNPD1024	antibiotic
CMNPD1032	antimicrobial
CMNPD1033	antimicrobial
CMNPD1066	inhibit fish feeding
CMNPD1067	inhibit fish feeding
CMNPD1088	cytotoxic
CMNPD1089	cytotoxic
CMNPD1095	cytotoxic
CMNPD1105	antimicrobial
CMNPD1116	ictithyotoxic
CMNPD1136	antimicrobial
CMNPD1137	antimicrobial
CMNPD1145	antimicrobial
CMNPD1146	antimicrobial
CMNPD1147	ichthyotoxic
CMNPD1148	ichthyotoxic
CMNPD1149	ichthyotoxic
CMNPD1161	antimicrobial | anti-inflammatory | inhibitor of phospholipase A2
CMNPD1162	antimicrobial
CMNPD1163	antimicrobial
CMNPD1164	antimicrobial
CMNPD1165	antimicrobial
CMNPD1167	ichthyotoxicity
CMNPD1168	ichthyotoxicity
CMNPD1169	ichthyotoxicity
CMNPD1170	antimicrobial
CMNPD1172	cytotoxin
CMNPD1193	anti-inflammatory
CMNPD1199	anti-inflammatory
CMNPD1200	potent anti-inflammatory
CMNPD1201	potent anti-inflammatory
CMNPD1202	potent anti-inflammatory
CMNPD1203	potent anti-inflammatory
CMNPD1204	potent anti-inflammatory
CMNPD1209	antimicrobial | cytotoxic | ichthyotoxic | larvicidal
CMNPD1210	antimicrobial | cytotoxic | ichthyotoxic | larvicidal
CMNPD1211	antimicrobial | cytotoxic | ichthyotoxic | larvicidal
CMNPD1212	weakly cytotoxic
CMNPD1238	mild antimicrobial
CMNPD1265	anti-tumour
CMNPD1269	cytotoxicity
CMNPD1282	antiinflammatory
CMNPD1297	ichthyotoxin
CMNPD1305	ichthyotoxic
CMNPD1311	ichthyotoxic
CMNPD1318	modest cytotoxicity towards a panel of tumour cell lines
CMNPD1321	antineoplastic
CMNPD1322	antineoplastic
CMNPD1396	cytotoxic
CMNPD1397	cytotoxic
CMNPD1398	antimicrobial | cytotoxic
CMNPD1399	antimicrobial | cytotoxic
CMNPD1400	anti-inflammatory
CMNPD1401	anti-inflammatory
CMNPD1402	anti-inflammatory
CMNPD1403	anti-inflammatory
CMNPD1404	anti-inflammatory
CMNPD1405	anti-inflammatory
CMNPD1410	cytotoxic
CMNPD1411	cytotoxic
CMNPD1435	significant anti-inflammatory activity
CMNPD1436	significant anti-inflammatory activity
CMNPD1437	significant anti-inflammatory activity
CMNPD1438	significant anti-inflammatory activity
CMNPD1441	anticancer
CMNPD1443	anticancer
CMNPD1451	mildly cytotoxic
CMNPD1453	antimicrobial
CMNPD1454	antimicrobial
CMNPD1455	antimicrobial
CMNPD1463	ichthyotoxic
CMNPD1464	antineoplastic
CMNPD1466	neuromuscular toxin
CMNPD1470	cytotoxic
CMNPD1489	toxic to grasshoppers
CMNPD1492	mild toxin
CMNPD1494	toxic to copepod larvae
CMNPD1519	lethal non-proteinous toxin
CMNPD1520	causative agent of Dogger Bank itch
CMNPD1535	inhibitor of cell division in the fertilized-sea-urchin-egg assay
CMNPD1537	antimicrobial | cytotoxic | ichthyodeterrent
CMNPD1538	antimicrobial and cytotoxic
CMNPD1539	antimicrobial | cytotoxic | ichthyodeterrent
CMNPD1540	antimicrobial | cytotoxic
CMNPD1541	good activity in the P388 lymphocytic leukaemia assay
CMNPD1542	good activity in the P388 lymphocytic leukaemia assay
CMNPD1543	good activity in the P388 lymphocytic leukaemia assay
CMNPD1548	ichthyotoxic
CMNPD1549	ichthyotoxic
CMNPD1583	feeding inhibitor
CMNPD1584	feeding inhibitor
CMNPD1603	antimicrobial, toxic
CMNPD1606	antibiotic
CMNPD1607	antibiotic
CMNPD1612	ichthyotoxin
CMNPD1613	ichthyotoxin
CMNPD1623	antineoplastic
CMNPD1625	antibacterial | inhibitor of eukaryotic DNA polymerase α
CMNPD1626	antibacterial
CMNPD1627	toxin
CMNPD1640	activity against P388 lymphocytic leukaemia in vivo | cancer-protective agent
CMNPD1641	activity against P388 lymphocytic leukaemia in vivo | cancer-protective agent
CMNPD1642	activity against P388 lymphocytic leukaemia in vivo | cancer-protective agent
CMNPD1643	antimicrobial | antiviral | cytotoxic
CMNPD1644	cytotoxic
CMNPD1648	cytotoxic
CMNPD1665	cytotoxicity
CMNPD1666	cytotoxicity
CMNPD1667	cytotoxicity
CMNPD1668	cytotoxicity
CMNPD1669	cytotoxicity
CMNPD1674	antiviral | cytotoxic
CMNPD1675	antiviral | cytotoxic
CMNPD1676	antiviral | cytotoxic
CMNPD1677	antimicrobial | cytotoxic
CMNPD1678	antimicrobial | cytotoxic
CMNPD1679	antimicrobial | cytotoxic
