exp_id,Temp,Press,Solvent,Time,conversion (%),ee (%),Comp._1,Comp._2,Comp._3,Comp._4,Comp._5,Mol. wt._1,Mol. wt._2,Mol. wt._3,Mol. wt._4,Mol. wt._5,mols_1,mols_2,mols_3,mols_4,mols_5,Eq. wt._1,Eq. wt._2,Eq. wt._3,Eq. wt._4,Eq. wt._5,Wt. taken_1,Wt. taken_2,Wt. taken_3,Wt. taken_4,Wt. taken_5
KK-032,RT,30 bar,THF, 12hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,Triethyl amine ,--,405.30 ,406.07 ,592.57 ,101.19 ,--,125 µmol,2.5 µmol,5 µmol,20 µmol,--,50 ,1 ,2 ,8 ,--,50 mg ,1 mg ,2.96 mg ,2 mg ,--
KK-033,RT,30 bar,THF, 12hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,Triethyl amine ,--,405.30 ,406.07 ,592.57 ,101.19 ,--,125 µmol,2.5 µmol,5 µmol,20 µmol,--,50 ,1 ,2 ,8 ,--,50 mg ,1 mg ,2.96 mg ,2 mg ,--
KK-036,RT,30 bar,THF, 6 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,--,--,405.30 ,406.07 ,592.57 ,--,--,125 µmol,2.5 µmol,5 µmol,--,--,50 ,1 ,2 ,--,--,50 mg ,1 mg ,2.96 mg ,--,--
KK-037,RT,30 bar,THF, 6 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,--,--,405.30 ,406.07 ,592.57 ,--,--,125 µmol,2.5 µmol,5 µmol,--,--,50 ,1 ,2 ,--,--,50 mg ,1 mg ,2.96 mg ,--,--
KK-038,RT,30 bar,THF, 6 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,Triethyl amine ,--,405.30 ,406.07 ,592.57 ,101.19 ,--,125 µmol,2.5 µmol,5 µmol,20 µmol,--,50 ,1 ,2 ,8 ,--,50 mg ,1 mg ,2.96 mg ,2 mg ,--
KK-039,RT,30 bar,THF, 6 hrs,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2BF4 ,HL ,Triethyl amine ,--,405.30 ,406.07 ,592.57 ,101.19 ,--,125 µmol,2.5 µmol,5 µmol,20 µmol,--,50 ,1 ,2 ,8 ,--,50 mg ,1 mg ,2.96 mg ,2 mg ,--
KK-040,50°C,20 bar,Methanol, 17 hrs	,00%,00%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,Ammonium chloride ,--,405.30 ,468.30 ,542.45 ,53.49 ,--,1.42 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,1 ,1.50x10-3 ,1.55x10-3 ,1.50x10-3 ,--,576 mg ,1 mg ,1.2 mg ,0.1 mg ,--
KK-046,50°C,20 bar,Methanol, 17 hrs,20%,94.5%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,Ammonium chloride ,--,405.30 ,468.30 ,542.45 ,53.49 ,--,0.2135 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,100 ,1 ,1.05 ,1 ,--,86 mg ,1 mg ,1.2 mg ,0.1 mg ,--
KK-047,50°C,20 bar,Methanol, 17 hrs,99%,96%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,Ammonium chloride ,--,405.30 ,468.30 ,542.45 ,53.49 ,--,0.1386 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,66 ,1 ,1.05 ,1 ,--,56.17 mg ,1 mg ,1.19 mg ,0.1 mg ,--
KK-051,50°C,20 bar,Methanol, 18 hrs,10%,99%,Dehydrositagliptin (1) ,Rh(COD)2OTf ,tBu-Josiphos ,Ammonium chloride ,--,405.30 ,468.30 ,542.45 ,53.49 ,--,1.42 mmol,0.0021 mmol,0.0022 mmol,0.0021 mmol,--,1 ,1.50x10-3 ,1.55x10-3 ,1.50x10-3 ,--,576 mg ,1 mg ,1.2 mg ,0.1 mg ,--
